RelativePath	ProcCount	Procs
customised_reports.aspx	1	pr_g_getcustomisedrpt
Login.aspx	4	pr_g_authenticateuser;pr_g_getloginouttime;pr_mfa_qr_is_user_enabled;pr_sys_seccbsv
logout.aspx	1	pr_b_userswitchlogtime
Authentication/ChooseModule.aspx	4	pr_a_getmodules;pr_a_passwordexpiryalert;pr_b_userswitchlogtime;pr_x_getsessionvariablesbyorgid
Authentication/MainMenu.aspx	1	pr_a_passwordexpiryalert
Config/AgriReportConfig.aspx	1	pr_b_getagrireportconfigdata
Config/SGFReportConfig.aspx	1	pr_b_getsgfreportconfigdata
Config/SGFSubMemconnUsers.aspx	1	pr_g_getconnectedsgfsubmemberusers
Config/UpdateBlockedUser.aspx	1	pr_b_getblockeduser
Customer360/Customer360View_v1.aspx	1	pr_hd_get360details
Customer360/JointDet360.aspx	1	pr_b_getjointnames
EmployeeDemand/EmpDemandPostMemberWise.aspx	4	pr_getallbranchdemandlist;pr_x_displaybranchlist_memberwise;pr_x_employeedemandpostingempwise;pr_x_getemployeedemanddetails
EmployeeDemand/EmpExceptionalDemandAmount.aspx	1	pr_x_displaymember
EmployeeDemand/EmployeeDemandDetails.aspx	1	pr_x_getemployeedemanddetails
EmployeeDemand/EmployeeDemandGeneration.aspx	5	pr_displaydemand;pr_generatedemand;pr_generatedemandofficetypewise;pr_getallbranchdemandlist;pr_x_getemployeedemanddetails
EmployeeDemand/EmployeeDemandImport.aspx	2	pr_x_generatedemandexcel;pr_x_importemployeedemand
EmployeeDemand/EmployeeDemandModify.aspx	2	pr_x_employeedemandmodify;pr_x_getemployeedemandmodifyamount
EmployeeDemand/EMPMemberResignTransaction.aspx	5	pr_sb_getmemberclosetrangeneration;pr_x_deletememberclosetransaction;pr_x_getmemberclosetrandetail;pr_x_memberclosetrangeneration;pr_x_memberclosetranpassing
EmployeeDemand/EmpMemberSalaryTransaction.aspx	2	pr_x_membersalaryperkstranauth;pr_x_membersalaryperkstransaction
EmployeeDemand/EmpMemDemandPostConfig.aspx	1	pr_b_empmemdemandpostconfig
EmployeeDemand/EMPRecoveryMaintenance.aspx	2	pr_x_displayempdemandforrec;pr_x_saveemprecoveryamt
EmployeeDemand/EmpSocCompMaster.aspx	2	pr_g_getcity;pr_g_getstate
EmployeeDemand/EmpSocDivision.aspx	2	pr_g_getcity;pr_g_getstate
EmployeeDemand/EmpSocSateliteOffice.aspx	2	pr_g_getcity;pr_g_getstate
EmployeeDemand/EMPSuretyDemandDepositAccount.aspx	1	pr_x_getsuretyloanaccount
EmployeeDemand/UpdateEmployeeDemadAmount.aspx	1	pr_x_displayemployeedemandmodify
fp/a_logintype.aspx	1	pr_a_logintypeformoperation
fp/fp_auth_handler.aspx	4	pr_fp_getfptempate;pr_fp_getuserlist;pr_fp_registeruser;pr_g_verifyusercredential
fp/login_handler.aspx	4	pr_a_getdisconnectuserauthentication;pr_g_authenticateuser;pr_g_disconnectuser;pr_g_getconnectedusers
Helpdesk/hd_AllRequest.aspx	9	pr_al_getstatusofrequestid;pr_getloanappinfo;pr_hd_getallrequest;pr_hd_getchequebookissuedstatus;pr_r_hd_requestdetails;pr_selectloanappdetails;pr_x_chequestoppaymentsave;pr_x_passchequebook;pr_x_savechequebookdetails
Helpdesk/hd_AllRequestInfo.aspx	3	pr_hd_allrequestdetails;pr_hd_allrequestfullchequedetails;pr_hd_requeststoppaymentrangeofcheque
Helpdesk/hd_ApprovalAuthority.aspx	4	pr_hd_approvalauthority;pr_hd_getattacheduser;pr_hd_getusersforapprovallevel;pr_hd_savedefaultmenuv2
Helpdesk/hd_DashboardDetailPopup.aspx	1	pr_hd_ibdashboard
Helpdesk/hd_DepositSchemeMap.aspx	1	pr_hd_savedepositscheme
Helpdesk/hd_EmailConfig.aspx	1	pr_hd_getemailconfig
Helpdesk/hd_FeatureConfig.aspx	1	pr_hd_featureconfig
Helpdesk/hd_InternetBankingReport.aspx	2	pr_g_getconsbranches;pr_hd_operationalreports
Helpdesk/hd_LoginText.aspx	5	pr_hd_logintext;pr_hd_logintext_delete;pr_hd_logintext_search;pr_hd_logintext_subtext;pr_hd_logintext_subtext_search
Helpdesk/hd_ResendMail.aspx	4	pr_g_getconsbranches;pr_hd_getemailsmstext;pr_hd_getlogindetails;pr_hd_save_loginemaillog
Helpdesk/hd_ResendMailV1.aspx	4	pr_g_getconsbranches;pr_hd_genemailsmstext;pr_hd_getlogindetails;pr_hd_save_loginemaillog
Helpdesk/hd_ServiceStatus.aspx	1	pr_hd_servicestatus
Helpdesk/HD_TranLimitslab.aspx	1	pr_hd_tranlimitslab
Helpdesk/hd_TransactionReport.aspx	2	pr_g_getconsbranches;pr_hd_highvaluetranreport
Helpdesk/hd_UserRelease.aspx	2	pr_hd_getblockeduser;pr_hd_saveuserrelease
Helpdesk/HelpDeskPasswordPolicyConfig.aspx	1	pr_a_getloginpolicydate
Helpdesk/MapHelpDeskAccounts.aspx	10	pr_b_getmaphelpdeskaccount;pr_g_getconsbranches;pr_hd_getaccountsbycustid;pr_hd_getactiveaccounts;pr_hd_getemailofdirectors;pr_hd_getemailsmstext;pr_hd_save_loginemaillog;pr_hd_savedefaultmenu;pr_hd_updatehd_login;pr_x_r_getcustomernamebychartofaccount
Helpdesk/MapHelpDeskAccountsV1.aspx	7	pr_hd_deleteprofilelogin;pr_hd_genemailsmstext;pr_hd_getaccountsbycustid;pr_hd_getactiveaccounts;pr_hd_save_loginemaillog;pr_hd_savedefaultmenuv2;pr_hd_userprofilestatuslog
Helpdesk/UserTrailLog.aspx	1	pr_hd_usertraillog
