Module	SubArea	Screen	RelativePath	Category	Complexity	Score	LegacyBucket	AspxLoc	VbLoc	Controls	Grids	Inputs	Buttons	ProcCount	Writes	ClientAssets	MigratedTo	Procs
(root)		ad_ajax_dac.aspx	ad_ajax_dac.aspx	Handler / API / Ajax	Simple	0.82	Simple	17	123	0	0	0	0	0				
(root)		apperror.aspx	apperror.aspx	Client-rendered / Other	Simple	0.61	Simple	23	80	2	0	0	0	0				
(root)		customised_reports.aspx	customised_reports.aspx	Report	Report	3.85	Report	86	139	18	2	2	2	1				pr_g_getcustomisedrpt
(root)		DashBoard.aspx	DashBoard.aspx	Client-rendered / Other	Simple	0.21	Simple	8	19	2	0	0	0	0				
(root)		dosprint.aspx	dosprint.aspx	Handler / API / Ajax	Simple	0.54	Simple	23	6	0	0	0	0	0		yes		
(root)		download.aspx	download.aspx	Client-rendered / Other	Simple	0.97	Simple	25	128	3	0	0	0	0	yes			
(root)		EmailCheck.aspx	EmailCheck.aspx	Client-rendered / Other	Simple	1.2	Simple	19	162	3	0	0	3	0				
(root)		InitSession.aspx	InitSession.aspx	Handler / API / Ajax	Simple	0.35	Simple	16	52	0	0	0	0	0				
(root)		KeyHelp.aspx	KeyHelp.aspx	Client-rendered / Other	Simple	0.1	Simple	9	9	1	0	0	0	0				
(root)		Login.aspx	Login.aspx	Transaction / Entry	Medium	6.48	Simple	175	522	15	0	3	3	4	yes			pr_g_authenticateuser;pr_g_getloginouttime;pr_mfa_qr_is_user_enabled;pr_sys_seccbsv
(root)		login_otp_verify.aspx	login_otp_verify.aspx	Transaction / Entry	Simple	1.07	Simple	41	31	9	0	1	3	0		yes		
(root)		login_otp_verify_handler.aspx	login_otp_verify_handler.aspx	Handler / API / Ajax	Simple	1.01	Simple	16	152	0	0	0	0	0				
(root)		logout.aspx	logout.aspx	Handler / API / Ajax	Simple	0.83	Simple	17	35	0	0	0	0	1				pr_b_userswitchlogtime
ajax		commonv1.aspx	ajax/commonv1.aspx	Handler / API / Ajax	Simple	0.75	Medium	4	112	0	0	0	0	0				
ajax		commonV2.aspx	ajax/commonV2.aspx	Handler / API / Ajax	Simple	0.8	Medium	1	120	0	0	0	0	0				
