Procedure	ScreenCount	Modules	Screens
pr_g_getconsbranches	179	HO,Helpdesk,Inventory,Lockers,Reports,RetailBanking	Helpdesk/hd_InternetBankingReport.aspx;Helpdesk/hd_ResendMail.aspx;Helpdesk/hd_ResendMailV1.aspx;Helpdesk/hd_TransactionReport.aspx;Helpdesk/MapHelpDeskAccounts.aspx;HO/MbankGlobalAccLimit.aspx;HO/Admin/a_UserLedgerRights.aspx;HO/Retailbanking/Aadhaar_Vault.aspx;HO/Retailbanking/b_RiskCatByThresHold.aspx;HO/Retailbanking/g_BSTemplateReport.aspx;Inventory/i_InvAllocation.aspx;Inventory/i_InvRequest.aspx;Inventory/i_OPeningBalance.aspx;Inventory/i_Supplier.aspx;Inventory/i_transactionReport.aspx;Lockers/k_LockerAdvRental.aspx;Lockers/k_LockerWaitlist.aspx;Reports/AgriLoans/AgriDisbReport.aspx;Reports/AgriLoans/PACSTransferReport.aspx;Reports/CKYC/kyc_ReportSettings.aspx;Reports/Inventory/Lockers/LockerReport.aspx;Reports/Lockers/BrWiseUnutilisedLockerReport.aspx;Reports/Lockers/LockerReport.aspx;Reports/Lockers/LockerWaitListReport.aspx;Reports/RBI Report/ConsolidateReport.aspx;Reports/RBI Report/rp_RBIOSSIntegrityData.aspx;Reports/RetailBanking/ABCDReport.aspx;Reports/RetailBanking/AccOpenCloseRegister.aspx;Reports/RetailBanking/AccountBalancingReport.aspx;Reports/RetailBanking/AccountOpenCloseSummary.aspx;Reports/RetailBanking/AccountStatement.aspx;Reports/RetailBanking/BookBalanceCertificateReport.aspx;Reports/RetailBanking/c_LoanAbstractReport.aspx;Reports/RetailBanking/CashLimitDetails.aspx;Reports/RetailBanking/CashTDSReport.aspx;Reports/RetailBanking/ChargesRecReport.aspx;Reports/RetailBanking/CounterfeitNotesReceipt.aspx;Reports/RetailBanking/CustAccInfoPrint.aspx;Reports/RetailBanking/DataComareReports.aspx;Reports/RetailBanking/DemandGenerationReport.aspx;Reports/RetailBanking/DepAdvInterestLog.aspx;Reports/RetailBanking/DepAdvQtrAnnex.aspx;Reports/RetailBanking/DepositRatePeriodWise.aspx;Reports/RetailBanking/DocumentExpiryReport.aspx;Reports/RetailBanking/ExceptionalReport.aspx;Reports/RetailBanking/ExcessCashReport.aspx;Reports/RetailBanking/FDMatNotPaidsummary.aspx;Reports/RetailBanking/Form60.aspx;Reports/RetailBanking/FutureIntNotice.aspx;Reports/RetailBanking/FutureIntNoticeV1.aspx;Reports/RetailBanking/GDCCStatements.aspx;Reports/RetailBanking/GoldSecurityReport.aspx;Reports/RetailBanking/IncomeGSTReport.aspx;Reports/RetailBanking/IntPaidPayRecdRecReport.aspx;Reports/RetailBanking/IntSubventionReport.aspx;Reports/RetailBanking/JLGReports.aspx;Reports/RetailBanking/KycComplianceReport.aspx;Reports/RetailBanking/LedgerViewLogReport.aspx;Reports/RetailBanking/LegalActionTakenReport.aspx;Reports/RetailBanking/LNCCRecoveryReport.aspx;Reports/RetailBanking/LoanAccountStatement.aspx;Reports/RetailBanking/LoanBalancingReport.aspx;Reports/RetailBanking/LoanDepositIntSlab.aspx;Reports/RetailBanking/LoanInsuranceReport.aspx;Reports/RetailBanking/LoanInterestCalculationDataChecking.aspx;Reports/RetailBanking/LoanOstODReport.aspx;Reports/RetailBanking/LoanReport.aspx;Reports/RetailBanking/MMSInwOutTranReport.aspx;Reports/RetailBanking/MstClsAdv.aspx;Reports/RetailBanking/NetWorthReport.aspx;Reports/RetailBanking/NODCStatement.aspx;Reports/RetailBanking/NonOperationAccPostReport.aspx;Reports/RetailBanking/PacsAccStatement.aspx;Reports/RetailBanking/PigmyAccReceipt.aspx;Reports/RetailBanking/PolicyReport.aspx;Reports/RetailBanking/PreDisbInfoReport.aspx;Reports/RetailBanking/RDInstReport.aspx;Reports/RetailBanking/ReportOptions.aspx;Reports/RetailBanking/RiskCategoryReport.aspx;Reports/RetailBanking/SGFReport.aspx;Reports/RetailBanking/SMAMarking.aspx;Reports/RetailBanking/SocSchemeDailyReport.aspx;Reports/RetailBanking/StaffLoanList.aspx;Reports/RetailBanking/StandingInstReport.aspx;Reports/RetailBanking/SweepAccountStatement.aspx;Reports/RetailBanking/TakeOverLoanReport.aspx;Reports/RetailBanking/TopNReports.aspx;Reports/RetailBanking/WillfulDefaulterReport.aspx;Reports/RetailBanking/x_LoanSettlementCalc.aspx;Reports/RetailBanking/x_PurposeLnAccList.aspx;Reports/RetailBanking/x_UserDefinedDormantLetter.aspx;Reports/RetailBanking/x_UserDefinedNoTranLetter.aspx;Reports/RetailBanking/Account/AccountLedger.aspx;Reports/RetailBanking/Account/AccountReportSetting.aspx;Reports/RetailBanking/AML/AML_WhiteListMarking.aspx;Reports/RetailBanking/AML/AMLAccountWiseCriteria.aspx;Reports/RetailBanking/AML/AMLTransactionWhiteListAdd.aspx;Reports/RetailBanking/AML/AMLTransactionWhiteListPass.aspx;Reports/RetailBanking/AML/AMLWhiteListTransactionRemove.aspx;Reports/RetailBanking/AML/AmlWorkingDateReportsV1.aspx;Reports/RetailBanking/AML/AmlWorkingDateReportsV2.aspx;Reports/RetailBanking/AML/BranchAMLMarking.aspx;Reports/RetailBanking/AML/PrincipalOfficerAMLMarking.aspx;Reports/RetailBanking/Audit/AuditReportSetting.aspx;Reports/RetailBanking/BachatGat/BachatGatReports.aspx;Reports/RetailBanking/Balancing/BalancingReportSetting.aspx;Reports/RetailBanking/Clearing/ClearingReportSettings.aspx;Reports/RetailBanking/Clearing/HoldChequeDet.aspx;Reports/RetailBanking/Clearing/InwardA6Report.aspx;Reports/RetailBanking/Clearing/IwProbableReturnReport.aspx;Reports/RetailBanking/Clearing/OwRegisterReport.aspx;Reports/RetailBanking/Clearing/OwReturnBnSummary.aspx;Reports/RetailBanking/Clearing/PositivePaydetailsReport.aspx;Reports/RetailBanking/DDPOReports/DDPOReportSettings.aspx;Reports/RetailBanking/DeathClaim/DeathClaimReport.aspx;Reports/RetailBanking/FDR/FDRReportSettings.aspx;Reports/RetailBanking/FDR/FutureFDRenewal.aspx;Reports/RetailBanking/HeadOffice/HeadofficeReportSetting.aspx;Reports/RetailBanking/HeadOffice/TBBSPLReportSetting.aspx;Reports/RetailBanking/loan/LoanOverdueReportSettings.aspx;Reports/RetailBanking/loan/LoanRecoveryReport.aspx;Reports/RetailBanking/loan/LoanReportSettings.aspx;Reports/RetailBanking/loan/StmtOfDemandCol.aspx;Reports/RetailBanking/New RetailBanking Report/LoanDisbRecReport.aspx;Reports/RetailBanking/New RetailBanking Report/LockerReport.aspx;Reports/RetailBanking/New RetailBanking Report/OverdueLetterLogReport.aspx;Reports/RetailBanking/New RetailBanking Report/ReportSettings.aspx;Reports/RetailBanking/New RetailBanking Report/UserdefinedClientKYCLetter.aspx;Reports/RetailBanking/NPA/ClassificationNPA.aspx;Reports/RetailBanking/NPA/NPAReportSettings.aspx;Reports/RetailBanking/NPA/NPASummarybyCOA.aspx;Reports/RetailBanking/NPA/ODAgainstNPA.aspx;Reports/RetailBanking/NPA/ProbableNPA.aspx;Reports/RetailBanking/RTGS/RTGSOwUnAuthorized.aspx;Reports/RetailBanking/RTGS/RTGSReportoptions.aspx;Reports/RetailBanking/RTGS/x_RTGSTranSummary.aspx;Reports/RetailBanking/TDS/Form15GHReportXML.aspx;Reports/RetailBanking/Transaction/TransactionReportSettings.aspx;Reports/RetailBanking/Transaction/TransactionSourceReport.aspx;Reports/RetailBanking/user_worksheet/user_worksheet_report_option.aspx;RetailBanking/a_UserPassTranLimit.aspx;RetailBanking/b_AgentAreaTrf.aspx;RetailBanking/b_AgentFSATrf.aspx;RetailBanking/b_MFCreditOfficer.aspx;RetailBanking/b_Signature.aspx;RetailBanking/c_LNSchemeChange.aspx;RetailBanking/FailedSweepInProcess.aspx;RetailBanking/mbank_upicoll_qr_sound_Terminal.aspx;RetailBanking/mBankUPIColQRPrint.aspx;RetailBanking/WriteOffAccount.aspx;RetailBanking/x_ChequeBook.aspx;RetailBanking/x_chequeBookPrintData.aspx;RetailBanking/x_ChequeStatusRevert.aspx;RetailBanking/x_LNCCAccumInt.aspx;RetailBanking/x_SalSchemeRegisExport.aspx;RetailBanking/x_SalSchemeRegistration.aspx;RetailBanking/aadhar/PfmsTranReport.aspx;RetailBanking/Account/b_AccountTransfer.aspx;RetailBanking/Account/b_SchemeChange.aspx;RetailBanking/Account/c_CCAccReview.aspx;RetailBanking/Account/d_FDIREnhance.aspx;RetailBanking/Account/DisbScheduleUpdate.aspx;RetailBanking/AgriLoan/SocietyCreation.aspx;RetailBanking/AgriLoan/x_PACSMemLedOpening.aspx;RetailBanking/Alerts/CCDocReviewPend.aspx;RetailBanking/Alerts/HighValTrOnAccOp.aspx;RetailBanking/Alerts/HighValTrOnHOl.aspx;RetailBanking/Alerts/TODExpired.aspx;RetailBanking/Alerts/TranInDormantAcc.aspx;RetailBanking/ATM/AtmCardViewer.aspx;RetailBanking/CersaiMortgage/c_CersaiMortgage.aspx;RetailBanking/InterestActivity/lnccod/lnccod_int_calc_V1.aspx;RetailBanking/KYC/kyc_Batch.aspx;RetailBanking/KYC/kyc_Dashboard.aspx;RetailBanking/NPA/c_ManualNPAStatUpdate.aspx;RetailBanking/Transaction/x_NonOprDepositTrf.aspx;RetailBanking/Transaction/x_TransactionOtherDetails.aspx;RetailBanking/user_worksheet/user_monthly_target.aspx;RetailBanking/Utilities/LedgerUpdateReq.aspx
pr_x_getglobalclient	39	HO,Lockers,Reports,RetailBanking	HO/b_ClientCKYCR_V1.aspx;HO/b_ClientCKYCR_V3.aspx;HO/b_ClientV1.aspx;HO/g_ClientGroup.aspx;HO/g_ClientIncomeDet.aspx;HO/GlobalClientDocAttach.aspx;HO/Bank/b_ATMRequest.aspx;HO/Bank/clientTDSExcemtion.aspx;HO/Bank/Form121.aspx;HO/Hr/g_BankDirRelative.aspx;HO/ProjectFormulation/p_LoanCase_v1.aspx;Lockers/k_LockerIssue.aspx;Lockers/k_LockerWaitlist.aspx;Reports/RetailBanking/BalanceCertificate.aspx;Reports/RetailBanking/ClientAccountInfo.aspx;Reports/RetailBanking/ClientModLog.aspx;Reports/RetailBanking/CustAccInfoPrint.aspx;Reports/RetailBanking/LiabilityVerification.aspx;Reports/RetailBanking/LoanReport.aspx;Reports/RetailBanking/ReportOptions.aspx;Reports/RetailBanking/Account/AllAccStmtbyClient.aspx;Reports/RetailBanking/New RetailBanking Report/AllInterestCertificate.aspx;RetailBanking/b_Signature.aspx;RetailBanking/b_StaffRelieve.aspx;RetailBanking/c_ValuatorMaster.aspx;RetailBanking/ChangeClientType.aspx;RetailBanking/ClientComplaintRegister.aspx;RetailBanking/ClientGroupViewer.aspx;RetailBanking/ClientTdsCashExempt.aspx;RetailBanking/g_CustomerDetailView.aspx;RetailBanking/Account/AgriLTMTLoan.aspx;RetailBanking/Account/b_AccountTransfer.aspx;RetailBanking/Account/c_Loan.aspx;RetailBanking/Account/depositAccount.aspx;RetailBanking/Account/g_Group.aspx;RetailBanking/AgriLoan/PACSMember.aspx;RetailBanking/AgriLoan/SocietyCreation.aspx;RetailBanking/CersaiMortgage/c_CersaiMortgage.aspx;RetailBanking/DeathClaim/g_DeathClaim.aspx
pr_re_sb_fwgetaccount	36	Reconciliation,Reports	Reconciliation/re_FWAutoReconciliation.aspx;Reconciliation/re_FWConfigDataFilter.aspx;Reconciliation/re_FWConfigTextFile.aspx;Reconciliation/re_FWDeleteImportData.aspx;Reconciliation/re_FWDeleteImportSettlementData.aspx;Reconciliation/re_FWFileMapping.aspx;Reconciliation/re_FWForceReconciliation.aspx;Reconciliation/re_FWImportDSRExcelFile.aspx;Reconciliation/re_FWImportEJPoolTextFile.aspx;Reconciliation/re_FWImportEJPoolTextFileMulti.aspx;Reconciliation/re_FWImportEntityFile.aspx;Reconciliation/re_FWImportExcelFile.aspx;Reconciliation/re_FWImportExcelFileMulti.aspx;Reconciliation/re_FWImportPOSExcelFile.aspx;Reconciliation/re_FWImportSwitchExcelFile.aspx;Reconciliation/re_FWImportSwitchExcelFileMulti.aspx;Reconciliation/re_FWImportTextFile.aspx;Reconciliation/re_FWImportTextFileMulti.aspx;Reconciliation/re_FWImportTrustLedger.aspx;Reconciliation/re_FWLoadFile.aspx;Reconciliation/re_FWManualReconciliation.aspx;Reconciliation/re_FWSettlementImportMulti.aspx;Reconciliation/re_FWSettlementItemListMonthly.aspx;Reconciliation/re_FWTransaction.aspx;Reconciliation/re_FWTransactionCons.aspx;Reconciliation/re_FWTransactionDaily.aspx;Reconciliation/re_FWTransactionMonthly.aspx;Reports/Reconciliation/re_FWFilterReconData.aspx;Reports/Reconciliation/re_FWForceReconcileTransactionReport.aspx;Reports/Reconciliation/re_FWImportSettlementReport.aspx;Reports/Reconciliation/re_FWLedgerReport.aspx;Reports/Reconciliation/re_FWReconcileTransactionReport.aspx;Reports/Reconciliation/re_FWSettlementReport.aspx;Reports/Reconciliation/re_FWSettlementSummaryComparisionReport.aspx;Reports/Reconciliation/re_FWSettlementSummaryReport.aspx;Reports/Reconciliation/re_FWUnReconcileTransactionReport.aspx
pr_x_getservicebranch	35	Reconciliation,Reports,RetailBanking	Reconciliation/re_FWConfigDataFilter.aspx;Reconciliation/re_FWImportDSRExcelFile.aspx;Reconciliation/re_FWImportExcelFile.aspx;Reconciliation/re_FWImportPOSExcelFile.aspx;Reconciliation/re_FWImportSwitchExcelFile.aspx;Reconciliation/re_FWImportSwitchExcelFileMulti.aspx;Reconciliation/re_FWTransactionDaily.aspx;Reconciliation/re_FWTransactionDailyPassing.aspx;Reconciliation/re_FWTransactionMonthly.aspx;Reconciliation/re_FWTransactionMonthlyPassing.aspx;Reconciliation/re_LedgerEntry.aspx;Reconciliation/re_LedgerFileDataImport.aspx;Reconciliation/re_MultiReconciliation.aspx;Reconciliation/re_MultiReconciliationV1.aspx;Reconciliation/re_ProcessTypeMatchCriteria.aspx;Reconciliation/re_Reconciliation.aspx;Reconciliation/re_SelfReconciliation.aspx;Reconciliation/re_TextFileConfiguration.aspx;Reports/Reconciliation/AgeAnalysisInterBankRec.aspx;Reports/Reconciliation/re_FWFilterReconData.aspx;Reports/Reconciliation/re_FWTransactionPassReportDaily.aspx;Reports/Reconciliation/re_FWTransactionPassReportMonthly.aspx;Reports/Reconciliation/re_FWUnReconcileTransactionReport.aspx;RetailBanking/Cash/x_ChestCashierLedger.aspx;RetailBanking/Clearing/b_inwardClgFileV2.aspx;RetailBanking/Clearing/InwardStatusRevert.aspx;RetailBanking/RTGS/RTGSImport.aspx;RetailBanking/RTGS/RTGSPayment.aspx;RetailBanking/RTGS/RTGSPaymentv1.aspx;RetailBanking/RTGS/RTGSPaymentV3.aspx;RetailBanking/Transaction/sh_signature.aspx;RetailBanking/Transaction/x_DividendTransaction.aspx;RetailBanking/Transaction/x_ManyToManyTransactionIBT_V1.aspx;RetailBanking/Transaction/x_transaction_js_ibt_cash_handler.aspx;RetailBanking/Transaction/x_transaction_js_ibt_trf_handler.aspx
pr_x_calculationofservicetaxcommon	34	Lockers,RetailBanking,UserControls	Lockers/k_LockerBreak.aspx;Lockers/k_LockerIssue.aspx;Lockers/k_LockerReturn.aspx;Lockers/k_LockerWaitlist.aspx;RetailBanking/c_LoanDisbursement.aspx;RetailBanking/LoanDisbursmentDebitCharges.aspx;RetailBanking/loanRepayment.aspx;RetailBanking/x_ChequeBook.aspx;RetailBanking/x_ChequeStopPaymentDetails.aspx;RetailBanking/Account/c_CCAccReview.aspx;RetailBanking/Account/c_CCODEnhancement.aspx;RetailBanking/Account/CCODRenewal.aspx;RetailBanking/BG/Bg_Issue.aspx;RetailBanking/BG/Bg_IssueRenewalTran.aspx;RetailBanking/BillCollection/x_billCollection.aspx;RetailBanking/Clearing/PopupReasonCode.aspx;RetailBanking/dd/dd.aspx;RetailBanking/dd/x_DDCancel.aspx;RetailBanking/RTGS/RTGSPayment.aspx;RetailBanking/RTGS/RTGSPaymentv1.aspx;RetailBanking/RTGS/RTGSPaymentV2.aspx;RetailBanking/RTGS/RTGSPaymentV3.aspx;RetailBanking/Transaction/b_AccountClosingTransactionNew.aspx;RetailBanking/Transaction/b_AccountPartialClosingTransaction.aspx;RetailBanking/Transaction/b_dailyClientAccountRenewal.aspx;RetailBanking/Transaction/x_CashBatchTransaction.aspx;RetailBanking/Transaction/x_FDRAutoTransferTransaction.aspx;RetailBanking/Transaction/x_IncomeSTtrasaction.aspx;RetailBanking/Transaction/x_LoanFDSettlement.aspx;RetailBanking/Transaction/x_ManyToManyTransactionIBT_V1.aspx;RetailBanking/Transaction/x_NonOprClaim.aspx;RetailBanking/Transaction/x_RDAccountClosing.aspx;RetailBanking/Transaction/x_SbCaRdAccountClosing.aspx;UserControls/DDPO.ascx
pr_re_getaccountnumberwithbalanceamount	27	Reconciliation,Reports	Reconciliation/re_AccountMapping.aspx;Reconciliation/re_DeleteOLedgerImportData.aspx;Reconciliation/re_DeleteTLedgerImportData.aspx;Reconciliation/re_FWConfigTextFile.aspx;Reconciliation/re_FWDeleteImportData.aspx;Reconciliation/re_LedgerEntry.aspx;Reconciliation/re_LedgerFileDataImport.aspx;Reconciliation/re_MultiReconciliation.aspx;Reconciliation/re_MultiReconciliationV1.aspx;Reconciliation/re_OurLedgerImport.aspx;Reconciliation/re_Reconciliation.aspx;Reconciliation/re_ReconciliationRollBack.aspx;Reconciliation/re_ReconciliationRollBackBatch.aspx;Reconciliation/re_ReconciliationRollBackV1.aspx;Reconciliation/re_ReconciliationRollBackV2.aspx;Reconciliation/re_SelfReconciliation.aspx;Reconciliation/re_SelfReconciliationV1.aspx;Reconciliation/re_SingleReconciliationRollback.aspx;Reconciliation/re_TextFileConfiguration.aspx;Reconciliation/re_TheirLedgerExcelDataTransfer.aspx;Reconciliation/re_TLedgerImportDataEdit.aspx;Reports/Reconciliation/AgeAnalysisInterBankRec.aspx;Reports/Reconciliation/OutPutTypeReport.aspx;Reports/Reconciliation/re_LedgerReport.aspx;Reports/Reconciliation/re_OutPutTypeSummaryReport.aspx;Reports/Reconciliation/re_ProcessTypeReport.aspx;Reports/Reconciliation/re_UnRecInterBankAdjConsReport.aspx
pr_b_getchargesamount	26	Lockers,Reports,RetailBanking	Lockers/k_LockerBreak.aspx;Reports/RetailBanking/AccountStatement.aspx;Reports/RetailBanking/LoanAccountStatement.aspx;Reports/RetailBanking/New RetailBanking Report/x_UserdefinedOverdueLetter.aspx;RetailBanking/c_LoanDisbursement.aspx;RetailBanking/LoanDisbursmentDebitCharges.aspx;RetailBanking/x_ChequeBook.aspx;RetailBanking/x_ChequeStopPaymentDetails.aspx;RetailBanking/Account/c_CCODEnhancement.aspx;RetailBanking/Account/CCODRenewal.aspx;RetailBanking/BG/Bg_Issue.aspx;RetailBanking/BG/Bg_IssueRenewalTran.aspx;RetailBanking/BillCollection/x_billCollection.aspx;RetailBanking/Clearing/InwardStatusRevert.aspx;RetailBanking/Clearing/PopupReasonCode.aspx;RetailBanking/dd/dd.aspx;RetailBanking/dormant/DormantReActivation.aspx;RetailBanking/InterestActivity/Charges/ATMServiceChargePosting_Calc.aspx;RetailBanking/InterestActivity/Charges/SMSChargesCalculation_V2.aspx;RetailBanking/InterestActivity/Charges/x_Charge_Calc_ForMinimumBalanceProvision_V2.aspx;RetailBanking/RTGS/RTGSPayment.aspx;RetailBanking/RTGS/RTGSPaymentv1.aspx;RetailBanking/RTGS/RTGSPaymentV2.aspx;RetailBanking/RTGS/RTGSPaymentV3.aspx;RetailBanking/SI/x_StandingInstruction.aspx;RetailBanking/SMS/sms_registeredAccount.aspx
pr_re_fwgetaccountformat	26	Reconciliation,Reports	Reconciliation/re_FWAccountTransactionMapping.aspx;Reconciliation/re_FWConfigDataFilter.aspx;Reconciliation/re_FWConfigTextFile.aspx;Reconciliation/re_FWDeleteImportData.aspx;Reconciliation/re_FWDeleteImportSettlementData.aspx;Reconciliation/re_FWFileMapping.aspx;Reconciliation/re_FWForceReconciliation.aspx;Reconciliation/re_FWImportEJPoolTextFile.aspx;Reconciliation/re_FWImportEJPoolTextFileMulti.aspx;Reconciliation/re_FWImportExcelFile.aspx;Reconciliation/re_FWImportExcelFileMulti.aspx;Reconciliation/re_FWImportSwitchExcelFile.aspx;Reconciliation/re_FWImportTextFile.aspx;Reconciliation/re_FWImportTextFileMulti.aspx;Reconciliation/re_FWImportTrustLedger.aspx;Reconciliation/re_FWManualReconciliation.aspx;Reconciliation/re_FWSettlementImportMulti.aspx;Reconciliation/re_FWTransaction.aspx;Reconciliation/re_FWTransactionDaily.aspx;Reconciliation/re_FWTransactionMonthly.aspx;Reports/Reconciliation/re_FWFilterReconData.aspx;Reports/Reconciliation/re_FWImportSettlementReport.aspx;Reports/Reconciliation/re_FWLedgerReport.aspx;Reports/Reconciliation/re_FWReconcileTransactionReport.aspx;Reports/Reconciliation/re_FWSettlementReport.aspx;Reports/Reconciliation/re_FWUnReconcileTransactionReport.aspx
pr_re_getbankname	25	Reconciliation,Reports	Reconciliation/re_AccountMapping.aspx;Reconciliation/re_DeleteOLedgerImportData.aspx;Reconciliation/re_DeleteTLedgerImportData.aspx;Reconciliation/re_LedgerEntry.aspx;Reconciliation/re_LedgerFileDataImport.aspx;Reconciliation/re_MultiReconciliation.aspx;Reconciliation/re_MultiReconciliationV1.aspx;Reconciliation/re_OurLedgerImport.aspx;Reconciliation/re_Reconciliation.aspx;Reconciliation/re_ReconciliationRollBack.aspx;Reconciliation/re_ReconciliationRollBackBatch.aspx;Reconciliation/re_ReconciliationRollBackV1.aspx;Reconciliation/re_ReconciliationRollBackV2.aspx;Reconciliation/re_SelfReconciliation.aspx;Reconciliation/re_SelfReconciliationV1.aspx;Reconciliation/re_SingleReconciliationRollback.aspx;Reconciliation/re_TextFileConfiguration.aspx;Reconciliation/re_TheirLedgerExcelDataTransfer.aspx;Reconciliation/re_TLedgerImportDataEdit.aspx;Reports/Reconciliation/AgeAnalysisInterBankRec.aspx;Reports/Reconciliation/OutPutTypeReport.aspx;Reports/Reconciliation/re_LedgerReport.aspx;Reports/Reconciliation/re_OutPutTypeSummaryReport.aspx;Reports/Reconciliation/re_ProcessTypeReport.aspx;Reports/Reconciliation/re_UnRecInterBankAdjConsReport.aspx
pr_x_scrollsave	24	HO,Inventory,RetailBanking	HO/x_IncomeGSTTrans.aspx;Inventory/i_SupplierPayment.aspx;RetailBanking/b_SMAMarking.aspx;RetailBanking/c_LoanDisbursement.aspx;RetailBanking/mBank_LimitConfig.aspx;RetailBanking/rescheduleLoanRepayment.aspx;RetailBanking/StatusModification.aspx;RetailBanking/x_IROIRSettlement.aspx;RetailBanking/Account/b_AccountTransfer.aspx;RetailBanking/Account/c_ReducingCCRenewal.aspx;RetailBanking/Account/CCODRenewal.aspx;RetailBanking/BG/BG_Client.aspx;RetailBanking/BG/Bg_ClientRenewal.aspx;RetailBanking/BG/Bg_Issue.aspx;RetailBanking/BG/Bg_IssueRenewalTran.aspx;RetailBanking/BG/BG_RevokeTran.aspx;RetailBanking/BG/bgClose.aspx;RetailBanking/dd/x_DDCancel.aspx;RetailBanking/InterestActivity/x_InvestmentInterestActivity.aspx;RetailBanking/RTGS/RTGSPayment.aspx;RetailBanking/RTGS/RTGSPaymentv1.aspx;RetailBanking/RTGS/RTGSPaymentV3.aspx;RetailBanking/Transaction/x_CashBatchTransaction.aspx;RetailBanking/Transaction/x_LoanInsuranceChargesPosting.aspx
